	id	label	text	size
1834	3976	CRITICAL	The Taliban Has No Plan to Stop Coronavirus – and No One Is Asking It for One 	78
2051	4048	CRITICAL	WATCH : Jen Psaki Mocks Free At - Home COVID Testing , Already the Norm in UK 	78
2510	7597	CRITICAL	Jeff Bezos Takes Private Jet to COP26 for Climate Change Chat with Prince Charles 	82
2191	4046	CRITICAL	San Jose Mayor : W.H. Is Wrong That Pandemic Is Root Cause of Smash and Grab Crime 	83
2205	4057	CRITICAL	A man in New Zealand was SHOT - yet his death was written down as COVID - 19 ! ! ! 	83
2977	7678	CRITICAL	China Mocks Biden ’s ' Absurd ' Attempt to Make Nice with John Kerry Climate Visit 	83
206	3242	CRITICAL	Pollak : No Clear Legal Basis for Biden 's New Vaccine Mandate on Private Employers 	84
2581	1906	CRITICAL	In Greece , Teachers Who Do n't Get Vaccinated Face Pay Cuts or Suspension : Report 	84
3758	3219	CRITICAL	Arizona AG Deems Tucson Vaccine Mandate a Violation of Law , Demands Them to Reverse 	85
249	3986	CRITICAL	Nolte : Joe Biden 's Failure Means We 're Going to Have to Live with the Coronavirus 	85
2697	3354	CRITICAL	Fauci : It Is ' When , Not If ' Definition of Fully Vaccinated Will Mean Three Shots 	85
2035	3551	CRITICAL	Bill de Blasio : ' We 're Looking Forward ' to Vaccinating Kids ' at a Younger Age ' 	85
1272	7594	CRITICAL	Prophet of Doom Boris Johnson to Fly Home on Private Jet from Glasgow Climate Summit 	85
3089	3194	CRITICAL	One of Fauci 's Top Doctors Opposes Vaccine Mandates , Will Debate Ethics at the NIH 	85
890	7601	CRITICAL	Ex - Japan Prime Minister Taro Aso Credits Global Warming for Improving Taste of Rice 	86
589	3259	CRITICAL	White House in July : Vaccine Mandates Are ‘ Not the Role of the Federal Government ’ 	86
349	4028	CRITICAL	Pope Francis Says Global Reset Is Real : No ‘ Return to Normality ’ After the Pandemic 	87
1454	4034	CRITICAL	Us and Them : Global Elites Drive Demand for Private Jets to New Highs During Pandemic 	87
1246	4154	CRITICAL	TX AG Paxton : No ' Respect ' for Biden on the COVID Issue - - Credibility Is ' Gone ' 	87
392	3176	CRITICAL	Report : Nets ' Kyrie Irving Refusing Vaccine to Protest Job Losses Due to Vax Mandates 	88
3647	3564	CRITICAL	Postal Workers Union : It Is Not the Role of Federal Government to Mandate Vaccinations 	88
2983	3954	CRITICAL	W.H.O. Says Global COVID Cases Dropping — While China , Russia Handle Renewed Outbreaks 	88
1583	3604	CRITICAL	More Rights For The Vaccinated : Merkel ’s Govt Pushes for Vaccine Passports in Germany 	88
3213	3196	CRITICAL	' This is a Free Country ' : UFC 's Dana White Refuses to Mandate Vaccines for Fighters 	88
3418	3963	CRITICAL	Outrage Builds as Biden Denies Life - Saving Coronavirus Meds in Feud with GOP Governors 	89
2135	4030	CRITICAL	Joe Biden Does Not Mention Coronavirus in Opening Remarks with ' Old Friend ' Xi Jinping 	89
56	3361	CRITICAL	Anthony Fauci : ' I ’m Not So Sure ' if Vaccines Should Be Required for Domestic Flights 	89
3088	7603	CRITICAL	Gavin Newsom and Entourage of 22 Democrats , Officials to Jet to Glasgow to Save Climate 	89
3222	7588	CRITICAL	Michael Rapaport Mocks Biden at Climate Change Summit : ' Wake Up , Sleepy F**king Joe ' 	89
3798	7658	CRITICAL	Rules for Thee and Not for Me : UK to Relax Travel Restrictions for UN Climate Conference 	90
3767	3185	CRITICAL	Florida Fire Chief Says He Was Fired for Refusing to Enforce ' Unlawful ' Vaccine Mandate 	90
2046	3600	CRITICAL	Anthony Fauci ' in Favor ' of Vaccine Mandates Despite Admitting People Can not Be Forced 	90
1732	4143	CRITICAL	DeSantis : Biden ' Loses All Credibility ' on COVID by Doing Nothing to Stop Border Surge 	90
995	3360	CRITICAL	Mike Lee : American People ' Have Right to Know ' If Senators Oppose Biden Vaccine Mandate 	91
2963	3578	CRITICAL	CNN 's Lemon to ' Selfish ' Unvaccinated : ' Do n't Go to the Hospital ' When You Get Sick 	91
3103	3589	CRITICAL	CNN Says Trump Wants His Supporters to Die - - After He Recommends ' Take the Vaccines ! ' 	91
3290	3980	CRITICAL	COVID - 1984 : NHS Admits Vax Pass App is Sharing User Facial Recognition Data With Police 	91
918	3358	CRITICAL	Broken Promises : One Year Ago , Joe Biden Said He ' Would n’t Demand ' Mandatory Vaccines 	91
3733	4072	CRITICAL	China Plans to Dump 2 Billion Doses of Its Low - Quality Coronavirus Vaccines on the World 	91
158	3244	CRITICAL	GOP Governors Slam Biden 's Vaccine Mandates After He Vowed to ' Get Them Out of the Way ' 	91
178	4142	CRITICAL	Texas Border City Urges NGO ’s to Open Tent Camps Despite 1500 Migrant COVID Cases Locally 	91
647	7684	CRITICAL	Greta Thunberg : Biden Admin ' Not Ready to Act as Seriously as We Need ' on Climate Crisis 	92
1651	3944	CRITICAL	Poll : Majority Say Joe Biden Has ' Fair ' or ' Poor ' Handling of the Coronavirus Pandemic 	92
379	3374	CRITICAL	Los Angeles : Hundreds of City Employees Could Soon Be on Unpaid Leave over Vaccine Mandate 	92
1262	3375	CRITICAL	Montana Leads 12 States in Lawsuit Against Biden ’s Vaccine Mandate for Health Care Workers 	92
1859	7598	CRITICAL	WATCH : Biden Admits ' Irony ' of Asking OPEC for Oil While Pushing Climate Change Policies 	92
835	3160	CRITICAL	Mayor Eric Garcetti to Unvaccinated L.A. City Workers : Get Vaccinated or ' Lose Your Job ' 	92
3567	4053	CRITICAL	Coronavirus Deaths in Joe Biden 's First 10 Months in Office Surpass Death Toll Under Trump 	92
443	3984	CRITICAL	GOP Rep. Gallagher : Biden Admin . ' Effectively Covering up for ' the CCP on COVID Origins 	92
742	4079	CRITICAL	L.A. Public Schools to Require Weekly COVID Tests for Staff , Students - - Vaccinated or Not 	93
2178	3970	CONSPIRACY	Rand Paul ' Stars ' in Chinese Rap Video Accusing U.S. of Starting Coronavirus Pandemic 	88
2133	4000	CONSPIRACY	"Why have so many African leaders died since the beginning of the pseudo - pandemic "" ? ? ? "	91
2080	6177	CONSPIRACY	The Deepstate Alliances . This is just one , but it is one that led to [ many ] others . [ Mooooooon ] 	103
1085	6179	CONSPIRACY	Notice what the eagle has in it 's talons . The tentacles of an Octopus . Symbolism for the Deepstate in everything . 	118
1764	3369	CONSPIRACY	Exclusive — Jim Breuer on Refusing Vaccine Mandate Comedy Clubs : ' I Will Never ' Be ' Controlled ' by ' Evil Agenda ' 	120
755	7607	CONSPIRACY	Exclusive — Rep. Devin Nunes : California Democrats Create Water Shortages , Brownouts , Wildfires and Blame ' Global Warming ' 	128
1023	10595	CONSPIRACY	KEEP SHARING THE INFORMATION - WAKING UP THE VACCINATED - WE NEED TO SAVE AS MANY OF THEM AS WE CAN - WWW . SAVEUSNOW . ORG . UK 	129
1153	11190	CONSPIRACY	It ’s also Mike Pompeo and his deep state cronies at State , Sonny Perdue at Dept of Ag , Christopher Liddell and Mark Meadows . 	129
2587	4012	CONSPIRACY	Different day , same scam . Coronavirus propaganda on the left hand side and swine flu propaganda from 2009 - 2011 on the right . 	130
2768	1721	CONSPIRACY	“ We need to just get rid of all the white people because immigrants are the only ones who want to be vaccinated ” - Dr Carol Baker 	132
2121	13161	CONSPIRACY	Moderna CEO admits on live air at Davos they were making a COVID - 19 vaccine in January 2020 before SARS - CoV - 2 even had a name 	132
2201	7637	CONSPIRACY	Judge rules Trump must testify in New York AG James probe | Lee Zeldin | ' Greg Kelly Reports ' https :// youtu . be / Y _ qk3bnW5GY 	133
2278	12209	CONSPIRACY	Yes I understand that . I also understand that the virus was a scare tactic to get people to inject the bioweapon which is the vaccine 	135
2145	10495	CONSPIRACY	CONFIRMATION THAT THE NHS WANT TO MURDER CHILDREN - ITS NOT A VACCINE - ITS NOT SAFE AND THE NHS BABY KILLERS KEEP ON LYING TO THE PEOPLE 	138
952	4019	CONSPIRACY	BQQQQQQQMCOVID SCAM - PLANDAMIC EXPOSED - ISRAEL HIT WITH COVID HIV BLIZZARD AFTER 3RD DOSE   SHARE ! ! https :// t . me / QNewsOfficialTV 	139
1410	7612	CONSPIRACY	Colorado town gets hit with HAARP , DEW 's , Chemtrails and 5 G as fires explode on nearly 1000 homes https :// youtu . be / MRY3N6 _ QIuw 	139
2809	3392	CONSPIRACY	BQQQQQQQM DEADLY VACCINES EXPOSED - Watch as truth bomb after truth bomb lands - THOUGHTS ?   SHARE ! ! https :// t . me / QNewsOfficialTV 	139
11	3321	CONSPIRACY	EXIT COVID - NEXT - RUSSIA IS BAD NARRATIVE - MSM IS FAKE NEWS - MSM IS - ENNEMY OF THE PEOPLE   SHARE ! ! https :// t . me / QNewsOfficialTV 	142
146	13033	CONSPIRACY	Trump has most of you fooled . He deserves prison for pushing ( still ) the vaccine . You ’re naive if you do n’t think he knows the agenda . 	142
3971	6540	CONSPIRACY	This is what happens when you 're in the # Ukrainian army and the US Deep State and the Mossad are determined to fight to the last Ukrainian . 	143
1852	4845	CONSPIRACY	Watch out and stay away from the vaccine its poisonous . Many secrets are hidden from us . The minority ruling are trying to destroy mankind . 	143
3979	4784	CONSPIRACY	THIS RUNNER GOT OFFENDED BY A SIGN THAT SAID WHY VACCINATE KIDS ? WHAT A CUNT ! !   Here FOLLOW Q WARRIORS   to be up - to - date . Get ready . 	144
3589	10940	CONSPIRACY	NEW WORLD ORDER - THEY WANT MOST OF THE PEOPLE DEAD AND THE REST SLAVES - MAKE SURE YOU DON'T HAVE CHILDREN AS THESE SATANISTS WANT TO EAT THEM 	144
2375	10845	CONSPIRACY	At the APEC summit , Macron called for a “ single global order ” Aka one world government Aka new world order Aka great reset Nobody wants this 	144
119	2052	CONSPIRACY	BQQQQQQQMTHAT 'S MY ANSWER TO MANDATORY VACCINES - CHEMTRAILS AND HOW THEY AFFECT YOU - THOUGHTS ?   SHARE ! ! https :// t . me / QNewsOfficialTV 	146
607	6469	CONSPIRACY	People do n't want to come to terms with the fact that Big Pharma , Bill Gates , and the Federal government are actively poisoning them to death . 	147
1477	3999	CONSPIRACY	"Quote : "" As yet , there is no official definition of long COVID or diagnostic criteria for the condition "" . The New Zealand Ministry of Health . "	147
1291	3752	CONSPIRACY	Ukraine drama is a staged event like covid was . Real limited scale war blown out of proportion https :// rumble . com / embed / vvi45g / ? pub = 4 	148
3410	13091	CONSPIRACY	ITS NOT A VACCINE - ITS A BIO CHEMICAL WEAPON - STUPID OLD FOOL - KNOW BODY BELIEVES THIS BULL SHIT - BE THE RESISTANCE INFO @ SAVEUSNOW . ORG . UK 	148
1719	10459	CONSPIRACY	An excerpt from The New World Order , published by Ralph Epprson in 1989 . A page in this book mentions 5 G and the vaccine . Join : @ shawnjohnson 	148
335	6508	CONSPIRACY	UK Crime Minister and NWO tool and buffoon , Boris Johnson resigns after 59 members from his government handed in resignations in the past 48 hours . 	150
898	2005	CONSPIRACY	"Dr Dušan Dunđer about non existing virus , graphene hydroxide in the so called "" vaccines "" and 32000 commands that can be executed via 5 G network ! "	150
2209	12011	CONSPIRACY	Take your time to read this .. They are using aborted fetal tissue in vaccines , yes they push abortion and then put part of the dead babies in you . 	150
1149	3399	CONSPIRACY	BQQQQQQQM STEW PEETERS - VACCINES ARE BIOWEAPONS - SERIOUS RISK FOR PILOTS AND PASSENGERS - THOUGHTS ?   SHARE ! ! https :// t . me / QNewsOfficialTV 	150
3034	13110	CONSPIRACY	I have seen a lot of rumors that the elites are demanding unvaccinated pilots to fly their private jets to the World Economic Forum . Wonder why ... ? 	151
3435	4893	CONSPIRACY	Pfizer Stopped Testing their COVID Vaccine on Animals Because they Kept Dying . SHARE ! ! Are you ready to join & know the truth    Join us ➣ @ erika81 	152
870	7470	CONSPIRACY	"JUAN O'SAVIN - FREEMASONS "" GREAT WORK "" IS TO CREATE A TOTALITARIAN WORLD GOVERNMENT UNDER SATAN https :// www . bitchute . com / video / Y5Z0l2S5gzFf / "	154
3484	3672	CONSPIRACY	BQQQQQQQM COVID HOAX EXPOSED - The COVID - 19 Fraud And War On Humanity by Dr. Sam Bailey PT1 - THOUGHTS ?   SHARE ! ! https :// t . me / QNewsOfficialTV 	154
2677	12050	CONSPIRACY	Klaus Schwab speaks during the July WEF & says there will be a cyber attack which will be much worse than the # covidhoax pandemic . Happy Thanksgiving ! 	154
513	13087	CONSPIRACY	THEY MADE YOU TAKE PIG VACCINES - YOU WOULD THINK PEOPLE WOULD BE UPSET WITH THESE SATANISTS - BE THE RESISTANCE STOP SATAN - INFO @ SAVEUSNOW . ORG . UK 	154
3687	6732	CONSPIRACY	The New World Order and its allies in the Uniparty want to destroy the United States . We must not let them . Stay alert and keep your head on a swivel . 	154
3926	4018	CONSPIRACY	SOME STILL ARENT GETTING IT - OPERATION WARP SPEED ISNT ABOUT COVID - 19 - ITS ABOUT ANOTHER VIRUS ENTIRELY   SHARE ! ! https :// t . me / QNewsOfficialTV 	155
1147	6670	CONSPIRACY	WEF | Davos Agenda 2022 On Day two at Davos more NWO pigs are spotted patrolling the streets wearing their satanic ' World Economic Forum Police ' patches 	155
1670	4980	CONSPIRACY	Whether you believe it to be psychological , physical or both , vaccines have been weaponized as a tool for population control . This much is now obvious . 	156
138	10585	CONSPIRACY	ITS NOT A VACCINE BUT A BIO WEAPON TO KILL ALL THOSE TERRORIZED AND IN FEAR - THEY NEED TO WAKE UP BEFORE OUR FATHER LEAVES THEM WITH THE SATANIC CLOT SHOT 	156
2787	6725	CONSPIRACY	Follow the money . All of these companies are funded by , or participate in the globalist NWO . If you fund them , they fund the agenda . It ’s a big web . 	156
3982	12064	CONSPIRACY	And it all becomes clear ... The ' new strain ' is just their way of scaring people into taking the vaccine . No wonder it appeared at just the right time . 	157
2280	11353	CONSPIRACY	""" Plandemic Dr. Fraudci On ' Common Cold ' Jabs In 2015 : "" "" The odds are your vaccine is not going to be doing a pretty good job of protecting you . "" "" "" "	157
1105	12431	CONSPIRACY	Michael Flynn said covid was created and intentionally released into the world by global elites so they can control us . Check here for MORE :    @ tonyroach 	158
3599	6495	CONSPIRACY	There ’s a lot of financial reward in peddling for big pharma and the baby murdering industry . There is also an eternal place in hell awaiting her arrival . 	158
